transferor_loan_number,due_date,scheduled_amount,received_on,received_amount
TR-0000019,2026-10-01,1995.46,,
TR-0000020,2024-11-01,4456.95,2024-11-11,4456.95
TR-0000020,2024-12-01,4456.95,2024-12-08,4456.95
TR-0000020,2025-01-01,4456.95,2025-01-06,4456.95
TR-0000020,2025-02-01,4456.95,2025-02-02,4456.95
TR-0000020,2025-03-01,4456.95,2025-03-01,4456.95
TR-0000020,2025-04-01,4456.95,2025-04-11,4456.95
TR-0000020,2025-05-01,4456.95,2025-04-30,4456.95
TR-0000020,2025-06-01,4456.95,2025-06-13,4456.95
TR-0000020,2025-07-01,4456.95,2025-07-01,4456.95
TR-0000020,2025-08-01,4456.95,2025-08-06,4456.95
TR-0000020,2025-09-01,4456.95,2025-09-13,4456.95
TR-0000020,2025-10-01,4456.95,2025-10-07,4456.95
TR-0000020,2025-11-01,4456.95,2025-11-02,4456.95
TR-0000020,2025-12-01,4456.95,2025-12-02,4456.95
TR-0000020,2026-01-01,4456.95,2025-12-29,4456.95
TR-0000020,2026-02-01,4456.95,2026-02-13,4456.95
TR-0000020,2026-03-01,4456.95,2026-03-08,4456.95
TR-0000020,2026-04-01,4456.95,2026-03-29,4456.95
TR-0000020,2026-05-01,4456.95,2026-05-08,4456.95
TR-0000020,2026-06-01,4456.95,2026-06-01,4456.95
TR-0000020,2026-07-01,4456.95,2026-07-09,4456.95
TR-0000020,2026-08-01,4456.95,2026-08-09,4456.95
TR-0000020,2026-09-01,4456.95,,
TR-0000020,2026-10-01,4456.95,,
TR-0000021,2024-11-01,1161.53,2024-11-05,1161.53
TR-0000021,2024-12-01,1161.53,2024-12-10,1161.53
TR-0000021,2025-01-01,1161.53,2025-01-02,1161.53
TR-0000021,2025-02-01,1161.53,2025-02-03,1161.53
TR-0000021,2025-03-01,1161.53,2025-03-12,1161.53
TR-0000021,2025-04-01,1161.53,2025-04-09,1161.53
TR-0000021,2025-05-01,1161.53,2025-04-30,1161.53
TR-0000021,2025-06-01,1161.53,2025-06-01,1161.53
TR-0000021,2025-07-01,1161.53,2025-07-01,1161.53
TR-0000021,2025-08-01,1161.53,2025-08-03,1161.53
TR-0000021,2025-09-01,1161.53,2025-09-12,1161.53
TR-0000021,2025-10-01,1161.53,2025-09-29,1161.53
TR-0000021,2025-11-01,1161.53,2025-11-08,1161.53
TR-0000021,2025-12-01,1161.53,2025-12-04,1161.53
TR-0000021,2026-01-01,1161.53,2026-01-07,1161.53
TR-0000021,2026-02-01,1161.53,2026-02-07,1161.53
TR-0000021,2026-03-01,1161.53,2026-03-10,1161.53
TR-0000021,2026-04-01,1161.53,2026-04-04,1161.53
TR-0000021,2026-05-01,1161.53,2026-05-13,1161.53
TR-0000021,2026-06-01,1161.53,2026-06-05,1161.53
TR-0000021,2026-07-01,1161.53,2026-07-05,1161.53
TR-0000021,2026-08-01,1161.53,2026-07-31,1161.53
TR-0000021,2026-09-01,1161.53,2026-08-29,1161.53
TR-0000021,2026-10-01,1161.53,,
TR-0000022,2024-11-01,3800.94,2024-11-08,3800.94
TR-0000022,2024-12-01,3800.94,2024-12-11,3800.94
TR-0000022,2025-01-01,3800.94,2025-01-07,3800.94
TR-0000022,2025-02-01,3800.94,2025-02-10,3800.94
TR-0000022,2025-03-01,3800.94,2025-03-05,3800.94
TR-0000022,2025-04-01,3800.94,2025-04-13,3800.94
TR-0000022,2025-05-01,3800.94,2025-04-29,3800.94
TR-0000022,2025-06-01,3800.94,2025-05-30,3800.94
TR-0000022,2025-07-01,3800.94,2025-07-10,3800.94
TR-0000022,2025-08-01,3800.94,2025-08-02,3800.94
TR-0000022,2025-09-01,3800.94,2025-09-11,3800.94
TR-0000022,2025-10-01,3800.94,2025-09-29,3800.94
TR-0000022,2025-11-01,3800.94,2025-11-13,3800.94
TR-0000022,2025-12-01,3800.94,2025-11-30,3800.94
TR-0000022,2026-01-01,3800.94,2025-12-29,3800.94
TR-0000022,2026-02-01,3800.94,2026-02-03,3800.94
TR-0000022,2026-03-01,3800.94,2026-03-12,3800.94
TR-0000022,2026-04-01,3800.94,2026-03-31,3800.94
TR-0000022,2026-05-01,3800.94,2026-05-02,3800.94
TR-0000022,2026-06-01,3800.94,2026-05-31,3800.94
TR-0000022,2026-07-01,3800.94,2026-07-13,3800.94
TR-0000022,2026-08-01,3800.94,,
TR-0000022,2026-09-01,3800.94,,
TR-0000022,2026-10-01,3800.94,,
TR-0000023,2024-11-01,2264.32,2024-11-05,2264.32
TR-0000023,2024-12-01,2264.32,2024-12-05,2264.32
TR-0000023,2025-01-01,2264.32,2025-01-03,2264.32
TR-0000023,2025-02-01,2264.32,2025-02-11,2264.32
TR-0000023,2025-03-01,2264.32,2025-03-09,2264.32
TR-0000023,2025-04-01,2264.32,2025-03-30,2264.32
TR-0000023,2025-05-01,2264.32,2025-05-09,2264.32
TR-0000023,2025-06-01,2264.32,2025-06-06,2264.32
TR-0000023,2025-07-01,2264.32,2025-06-30,2264.32
TR-0000023,2025-08-01,2264.32,2025-08-02,2264.32
TR-0000023,2025-09-01,2264.32,2025-08-31,2264.32
TR-0000023,2025-10-01,2264.32,2025-10-13,2264.32
TR-0000023,2025-11-01,2264.32,2025-10-31,2264.32
TR-0000023,2025-12-01,2264.32,2025-12-04,2264.32
TR-0000023,2026-01-01,2264.32,2025-12-30,2264.32
TR-0000023,2026-02-01,2264.32,2026-02-12,2264.32
TR-0000023,2026-03-01,2264.32,2026-03-04,2264.32
TR-0000023,2026-04-01,2264.32,2026-04-13,2264.32
TR-0000023,2026-05-01,2264.32,2026-05-10,2264.32
TR-0000023,2026-06-01,2264.32,2026-06-08,2264.32
TR-0000023,2026-07-01,2264.32,2026-07-08,2264.32
TR-0000023,2026-08-01,2264.32,2026-08-09,2264.32
TR-0000023,2026-09-01,2264.32,2026-09-05,2264.32
TR-0000023,2026-10-01,2264.32,,
TR-0000024,2024-11-01,1821.79,2024-11-08,1821.79
TR-0000024,2024-12-01,1821.79,2024-12-04,1821.79
TR-0000024,2025-01-01,1821.79,2025-01-12,1821.79
TR-0000024,2025-02-01,1821.79,2025-01-29,1821.79
TR-0000024,2025-03-01,1821.79,2025-03-07,1821.79
TR-0000024,2025-04-01,1821.79,2025-04-09,1821.79
TR-0000024,2025-05-01,1821.79,2025-04-28,1821.79
TR-0000024,2025-06-01,1821.79,2025-06-13,1821.79
TR-0000024,2025-07-01,1821.79,2025-07-10,1821.79
TR-0000024,2025-08-01,1821.79,2025-08-05,1821.79
TR-0000024,2025-09-01,1821.79,2025-08-29,1821.79
TR-0000024,2025-10-01,1821.79,2025-10-06,1821.79
TR-0000024,2025-11-01,1821.79,2025-11-13,1821.79
TR-0000024,2025-12-01,1821.79,2025-12-06,1821.79
TR-0000024,2026-01-01,1821.79,2026-01-06,1821.79
TR-0000024,2026-02-01,1821.79,2026-02-01,1821.79
TR-0000024,2026-03-01,1821.79,2026-02-28,1821.79
TR-0000024,2026-04-01,1821.79,2026-04-05,1821.79
TR-0000024,2026-05-01,1821.79,2026-05-12,1821.79
TR-0000024,2026-06-01,1821.79,2026-06-06,1821.79
TR-0000024,2026-07-01,1821.79,2026-07-05,1821.79
TR-0000024,2026-08-01,1821.79,2026-08-06,1821.79
TR-0000024,2026-09-01,1821.79,2026-09-10,1821.79
TR-0000024,2026-10-01,1821.79,,
TR-0000025,2024-11-01,3118.72,2024-11-04,3118.72
TR-0000025,2024-12-01,3118.72,2024-12-02,3118.72
TR-0000025,2025-01-01,3118.72,2025-01-02,3118.72
TR-0000025,2025-02-01,3118.72,2025-02-09,3118.72
TR-0000025,2025-03-01,3118.72,2025-02-26,3118.72
TR-0000025,2025-04-01,3118.72,2025-04-12,3118.72
TR-0000025,2025-05-01,3118.72,2025-05-09,3118.72
TR-0000025,2025-06-01,3118.72,2025-05-29,3118.72
TR-0000025,2025-07-01,3118.72,2025-07-02,3118.72
TR-0000025,2025-08-01,3118.72,2025-08-04,3118.72
TR-0000025,2025-09-01,3118.72,2025-09-03,3118.72
TR-0000025,2025-10-01,3118.72,2025-10-13,3118.72
TR-0000025,2025-11-01,3118.72,2025-11-01,3118.72
TR-0000025,2025-12-01,3118.72,2025-12-13,3118.72
TR-0000025,2026-01-01,3118.72,2026-01-04,3118.72
TR-0000025,2026-02-01,3118.72,2026-02-07,3118.72
TR-0000025,2026-03-01,3118.72,2026-03-07,3118.72
TR-0000025,2026-04-01,3118.72,2026-04-08,3118.72
TR-0000025,2026-05-01,3118.72,2026-05-11,3118.72
TR-0000025,2026-06-01,3118.72,2026-06-08,3118.72
TR-0000025,2026-07-01,3118.72,2026-07-09,3118.72
TR-0000025,2026-08-01,3118.72,2026-08-02,3118.72
TR-0000025,2026-09-01,3118.72,2026-09-04,3118.72
TR-0000025,2026-10-01,3118.72,,
TR-0000026,2024-11-01,4824.24,2024-11-09,4824.24
TR-0000026,2024-12-01,4824.24,2024-12-09,4824.24
TR-0000026,2025-01-01,4824.24,2025-01-03,4824.24
TR-0000026,2025-02-01,4824.24,2025-02-08,4824.24
TR-0000026,2025-03-01,4824.24,2025-03-04,4824.24
TR-0000026,2025-04-01,4824.24,2025-04-02,4824.24
TR-0000026,2025-05-01,4824.24,2025-04-30,4824.24
TR-0000026,2025-06-01,4824.24,2025-06-02,4824.24
TR-0000026,2025-07-01,4824.24,2025-07-01,4824.24
TR-0000026,2025-08-01,4824.24,2025-08-03,4824.24
TR-0000026,2025-09-01,4824.24,2025-09-03,4824.24
TR-0000026,2025-10-01,4824.24,2025-10-06,4824.24
TR-0000026,2025-11-01,4824.24,2025-11-11,4824.24
TR-0000026,2025-12-01,4824.24,2025-12-09,4824.24
TR-0000026,2026-01-01,4824.24,2026-01-03,4824.24
TR-0000026,2026-02-01,4824.24,2026-02-10,4824.24
TR-0000026,2026-03-01,4824.24,2026-03-07,4824.24
TR-0000026,2026-04-01,4824.24,2026-04-09,4824.24
TR-0000026,2026-05-01,4824.24,2026-05-07,4824.24
TR-0000026,2026-06-01,4824.24,2026-06-07,4824.24
TR-0000026,2026-07-01,4824.24,2026-07-04,4824.24
TR-0000026,2026-08-01,4824.24,2026-08-11,4824.24
TR-0000026,2026-09-01,4824.24,2026-09-11,4824.24
TR-0000026,2026-10-01,4824.24,,
TR-0000027,2024-11-01,6254.33,2024-11-08,6254.33
TR-0000027,2024-12-01,6254.33,2024-12-04,6254.33
TR-0000027,2025-01-01,6254.33,2025-01-04,6254.33
TR-0000027,2025-02-01,6254.33,2025-02-09,6254.33
TR-0000027,2025-03-01,6254.33,2025-03-13,6254.33
TR-0000027,2025-04-01,6254.33,2025-04-07,6254.33
TR-0000027,2025-05-01,6254.33,2025-05-01,6254.33
TR-0000027,2025-06-01,6254.33,2025-06-09,6254.33
TR-0000027,2025-07-01,6254.33,2025-07-11,6254.33
TR-0000027,2025-08-01,6254.33,2025-08-03,6254.33
TR-0000027,2025-09-01,6254.33,2025-08-31,6254.33
TR-0000027,2025-10-01,6254.33,2025-10-06,6254.33
TR-0000027,2025-11-01,6254.33,2025-11-08,6254.33
TR-0000027,2025-12-01,6254.33,2025-12-07,6254.33
TR-0000027,2026-01-01,6254.33,2026-01-06,6254.33
TR-0000027,2026-02-01,6254.33,2026-02-08,6254.33
TR-0000027,2026-03-01,6254.33,2026-03-02,6254.33
TR-0000027,2026-04-01,6254.33,2026-04-05,6254.33
TR-0000027,2026-05-01,6254.33,2026-05-08,6254.33
TR-0000027,2026-06-01,6254.33,2026-06-13,6254.33
TR-0000027,2026-07-01,6254.33,2026-07-12,6254.33
TR-0000027,2026-08-01,6254.33,2026-08-04,6254.33
TR-0000027,2026-09-01,6254.33,2026-08-31,6254.33
TR-0000027,2026-10-01,6254.33,,
TR-0000028,2024-11-01,1360.60,2024-11-03,1360.60
TR-0000028,2024-12-01,1360.60,2024-12-09,1360.60
TR-0000028,2025-01-01,1360.60,2025-01-11,1360.60
TR-0000028,2025-02-01,1360.60,2025-02-10,1360.60
TR-0000028,2025-03-01,1360.60,2025-03-02,1360.60
TR-0000028,2025-04-01,1360.60,2025-04-12,1360.60
TR-0000028,2025-05-01,1360.60,2025-04-29,1360.60
TR-0000028,2025-06-01,1360.60,2025-05-31,1360.60
TR-0000028,2025-07-01,1360.60,2025-06-29,1360.60
TR-0000028,2025-08-01,1360.60,2025-08-07,1360.60
TR-0000028,2025-09-01,1360.60,2025-09-09,1360.60
TR-0000028,2025-10-01,1360.60,2025-10-06,1360.60
TR-0000028,2025-11-01,1360.60,2025-11-08,1360.60
TR-0000028,2025-12-01,1360.60,2025-12-06,1360.60
TR-0000028,2026-01-01,1360.60,2026-01-12,1360.60
TR-0000028,2026-02-01,1360.60,2026-02-09,1360.60
TR-0000028,2026-03-01,1360.60,2026-03-10,1360.60
TR-0000028,2026-04-01,1360.60,2026-04-04,1360.60
TR-0000028,2026-05-01,1360.60,2026-05-05,1360.60
TR-0000028,2026-06-01,1360.60,2026-06-06,1360.60
TR-0000028,2026-07-01,1360.60,2026-07-01,1360.60
TR-0000028,2026-08-01,1360.60,2026-08-10,1360.60
TR-0000028,2026-09-01,1360.60,2026-09-05,1360.60
TR-0000028,2026-10-01,1360.60,,
TR-0000029,2024-11-01,2540.72,2024-10-30,2540.72
TR-0000029,2024-12-01,2540.72,2024-12-13,2540.72
TR-0000029,2025-01-01,2540.72,2025-01-11,2540.72
TR-0000029,2025-02-01,2540.72,2025-02-07,2540.72
TR-0000029,2025-03-01,2540.72,2025-03-08,2540.72
TR-0000029,2025-04-01,2540.72,2025-03-30,2540.72
TR-0000029,2025-05-01,2540.72,2025-05-10,2540.72
TR-0000029,2025-06-01,2540.72,2025-05-30,2540.72
TR-0000029,2025-07-01,2540.72,2025-07-04,2540.72
TR-0000029,2025-08-01,2540.72,2025-08-05,2540.72
TR-0000029,2025-09-01,2540.72,2025-09-06,2540.72
TR-0000029,2025-10-01,2540.72,2025-10-09,2540.72
TR-0000029,2025-11-01,2540.72,2025-11-03,2540.72
TR-0000029,2025-12-01,2540.72,2025-12-02,2540.72
TR-0000029,2026-01-01,2540.72,2026-01-13,2540.72
TR-0000029,2026-02-01,2540.72,2026-01-31,2540.72
TR-0000029,2026-03-01,2540.72,2026-02-27,2540.72
TR-0000029,2026-04-01,2540.72,2026-04-11,2540.72
TR-0000029,2026-05-01,2540.72,2026-05-02,2540.72
TR-0000029,2026-06-01,2540.72,2026-05-31,2540.72
TR-0000029,2026-07-01,2540.72,2026-07-06,2540.72
TR-0000029,2026-08-01,2540.72,2026-08-07,2540.72
TR-0000029,2026-09-01,2540.72,2026-09-12,2540.72
TR-0000029,2026-10-01,2540.72,,
TR-0000030,2024-11-01,2614.69,2024-11-04,2614.69
TR-0000030,2024-12-01,2614.69,2024-12-10,2614.69
TR-0000030,2025-01-01,2614.69,2025-01-12,2614.69
TR-0000030,2025-02-01,2614.69,2025-02-11,2614.69
TR-0000030,2025-03-01,2614.69,2025-03-09,2614.69
TR-0000030,2025-04-01,2614.69,2025-04-03,2614.69
TR-0000030,2025-05-01,2614.69,2025-05-08,2614.69
TR-0000030,2025-06-01,2614.69,2025-06-13,2614.69
TR-0000030,2025-07-01,2614.69,2025-07-12,2614.69
TR-0000030,2025-08-01,2614.69,2025-08-12,2614.69
TR-0000030,2025-09-01,2614.69,2025-09-01,2614.69
TR-0000030,2025-10-01,2614.69,2025-10-10,2614.69
TR-0000030,2025-11-01,2614.69,2025-10-29,2614.69
TR-0000030,2025-12-01,2614.69,2025-12-13,2614.69
TR-0000030,2026-01-01,2614.69,2025-12-29,2614.69
TR-0000030,2026-02-01,2614.69,2026-01-31,2614.69
TR-0000030,2026-03-01,2614.69,2026-03-08,2614.69
TR-0000030,2026-04-01,2614.69,2026-04-10,2614.69
TR-0000030,2026-05-01,2614.69,2026-05-08,2614.69
TR-0000030,2026-06-01,2614.69,2026-06-03,2614.69
TR-0000030,2026-07-01,2614.69,2026-07-08,2614.69
TR-0000030,2026-08-01,2614.69,2026-08-03,2614.69
TR-0000030,2026-09-01,2614.69,2026-09-01,2614.69
TR-0000030,2026-10-01,2614.69,,
TR-0000031,2024-11-01,3663.71,2024-11-08,3663.71
TR-0000031,2024-12-01,3663.71,2024-12-05,3663.71
TR-0000031,2025-01-01,3663.71,2025-01-10,3663.71
TR-0000031,2025-02-01,3663.71,2025-02-05,3663.71
TR-0000031,2025-03-01,3663.71,2025-03-06,3663.71
TR-0000031,2025-04-01,3663.71,2025-04-04,3663.71
TR-0000031,2025-05-01,3663.71,2025-05-03,3663.71
TR-0000031,2025-06-01,3663.71,2025-06-11,3663.71
TR-0000031,2025-07-01,3663.71,2025-07-01,3663.71
TR-0000031,2025-08-01,3663.71,2025-08-11,3663.71
TR-0000031,2025-09-01,3663.71,2025-09-03,3663.71
TR-0000031,2025-10-01,3663.71,2025-10-09,3663.71
TR-0000031,2025-11-01,3663.71,2025-11-07,3663.71
TR-0000031,2025-12-01,3663.71,2025-12-12,3663.71
TR-0000031,2026-01-01,3663.71,2026-01-03,3663.71
TR-0000031,2026-02-01,3663.71,2026-02-13,3663.71
TR-0000031,2026-03-01,3663.71,2026-03-01,3663.71
TR-0000031,2026-04-01,3663.71,2026-04-08,3663.71
TR-0000031,2026-05-01,3663.71,2026-04-29,3663.71
TR-0000031,2026-06-01,3663.71,2026-06-07,3663.71
TR-0000031,2026-07-01,3663.71,2026-07-12,3663.71
TR-0000031,2026-08-01,3663.71,2026-08-09,3663.71
TR-0000031,2026-09-01,3663.71,,
TR-0000031,2026-10-01,3663.71,,
TR-0000032,2024-11-01,3360.38,2024-10-30,3360.38
TR-0000032,2024-12-01,3360.38,2024-11-29,3360.38
TR-0000032,2025-01-01,3360.38,2024-12-29,3360.38
TR-0000032,2025-02-01,3360.38,2025-01-29,3360.38
TR-0000032,2025-03-01,3360.38,2025-03-02,3360.38
TR-0000032,2025-04-01,3360.38,2025-04-09,3360.38
TR-0000032,2025-05-01,3360.38,2025-05-01,3360.38
TR-0000032,2025-06-01,3360.38,2025-05-31,3360.38
TR-0000032,2025-07-01,3360.38,2025-06-30,3360.38
TR-0000032,2025-08-01,3360.38,2025-07-31,3360.38
TR-0000032,2025-09-01,3360.38,2025-09-12,3360.38
TR-0000032,2025-10-01,3360.38,2025-10-10,3360.38
TR-0000032,2025-11-01,3360.38,2025-10-31,3360.38
TR-0000032,2025-12-01,3360.38,2025-12-01,3360.38
TR-0000032,2026-01-01,3360.38,2025-12-29,3360.38
TR-0000032,2026-02-01,3360.38,2026-02-06,3360.38
TR-0000032,2026-03-01,3360.38,2026-03-12,3360.38
TR-0000032,2026-04-01,3360.38,2026-03-31,3360.38
TR-0000032,2026-05-01,3360.38,2026-05-12,3360.38
TR-0000032,2026-06-01,3360.38,2026-06-04,3360.38
TR-0000032,2026-07-01,3360.38,2026-07-10,3360.38
TR-0000032,2026-08-01,3360.38,2026-08-03,3360.38
TR-0000032,2026-09-01,3360.38,2026-09-09,3360.38
TR-0000032,2026-10-01,3360.38,,
TR-0000033,2024-11-01,1734.03,2024-11-03,1734.03
TR-0000033,2024-12-01,1734.03,2024-12-11,1734.03
TR-0000033,2025-01-01,1734.03,2025-01-05,1734.03
TR-0000033,2025-02-01,1734.03,2025-02-06,1734.03
TR-0000033,2025-03-01,1734.03,2025-03-03,1734.03
TR-0000033,2025-04-01,1734.03,2025-04-05,1734.03
TR-0000033,2025-05-01,1734.03,2025-05-05,1734.03
TR-0000033,2025-06-01,1734.03,2025-06-04,1734.03
TR-0000033,2025-07-01,1734.03,2025-07-08,1734.03
TR-0000033,2025-08-01,1734.03,2025-08-10,1734.03
TR-0000033,2025-09-01,1734.03,2025-08-30,1734.03
TR-0000033,2025-10-01,1734.03,2025-10-05,1734.03
TR-0000033,2025-11-01,1734.03,2025-11-02,1734.03
TR-0000033,2025-12-01,1734.03,2025-12-09,1734.03
TR-0000033,2026-01-01,1734.03,2026-01-13,1734.03
TR-0000033,2026-02-01,1734.03,2026-01-31,1734.03
TR-0000033,2026-03-01,1734.03,2026-03-13,1734.03
TR-0000033,2026-04-01,1734.03,2026-04-13,1734.03
TR-0000033,2026-05-01,1734.03,2026-05-06,1734.03
TR-0000033,2026-06-01,1734.03,2026-06-01,1734.03
TR-0000033,2026-07-01,1734.03,2026-07-01,1734.03
TR-0000033,2026-08-01,1734.03,2026-08-01,1734.03
TR-0000033,2026-09-01,1734.03,2026-09-06,1734.03
TR-0000033,2026-10-01,1734.03,,
TR-0000034,2024-11-01,3590.19,2024-10-30,3590.19
TR-0000034,2024-12-01,3590.19,2024-11-28,3590.19
TR-0000034,2025-01-01,3590.19,2025-01-07,3590.19
TR-0000034,2025-02-01,3590.19,2025-01-30,3590.19
TR-0000034,2025-03-01,3590.19,2025-02-27,3590.19
TR-0000034,2025-04-01,3590.19,2025-04-12,3590.19
TR-0000034,2025-05-01,3590.19,2025-05-01,3590.19
TR-0000034,2025-06-01,3590.19,2025-06-08,3590.19
TR-0000034,2025-07-01,3590.19,2025-07-06,3590.19
TR-0000034,2025-08-01,3590.19,2025-07-30,3590.19
TR-0000034,2025-09-01,3590.19,2025-09-08,3590.19
TR-0000034,2025-10-01,3590.19,2025-10-03,3590.19
TR-0000034,2025-11-01,3590.19,2025-11-09,3590.19
TR-0000034,2025-12-01,3590.19,2025-12-06,3590.19
TR-0000034,2026-01-01,3590.19,2026-01-04,3590.19
TR-0000034,2026-02-01,3590.19,2026-02-07,3590.19
TR-0000034,2026-03-01,3590.19,2026-03-01,3590.19
TR-0000034,2026-04-01,3590.19,2026-04-05,3590.19
TR-0000034,2026-05-01,3590.19,2026-05-04,3590.19
TR-0000034,2026-06-01,3590.19,2026-06-03,3590.19
TR-0000034,2026-07-01,3590.19,2026-07-06,3590.19
TR-0000034,2026-08-01,3590.19,2026-08-02,3590.19
TR-0000034,2026-09-01,3590.19,2026-09-01,3590.19
TR-0000034,2026-10-01,3590.19,,
TR-0000035,2024-11-01,5090.10,2024-11-08,5090.10
TR-0000035,2024-12-01,5090.10,2024-12-11,5090.10
TR-0000035,2025-01-01,5090.10,2024-12-30,5090.10
TR-0000035,2025-02-01,5090.10,2025-02-12,5090.10
TR-0000035,2025-03-01,5090.10,2025-03-05,5090.10
TR-0000035,2025-04-01,5090.10,2025-03-31,5090.10
TR-0000035,2025-05-01,5090.10,2025-05-02,5090.10
TR-0000035,2025-06-01,5090.10,2025-06-05,5090.10
TR-0000035,2025-07-01,5090.10,2025-06-28,5090.10
TR-0000035,2025-08-01,5090.10,2025-08-01,5090.10
TR-0000035,2025-09-01,5090.10,2025-09-13,5090.10
TR-0000035,2025-10-01,5090.10,2025-10-09,5090.10
TR-0000035,2025-11-01,5090.10,2025-10-31,5090.10
TR-0000035,2025-12-01,5090.10,2025-12-09,5090.10
TR-0000035,2026-01-01,5090.10,2026-01-13,5090.10
TR-0000035,2026-02-01,5090.10,2026-01-31,5090.10
TR-0000035,2026-03-01,5090.10,2026-02-28,5090.10
TR-0000035,2026-04-01,5090.10,2026-03-31,5090.10
TR-0000035,2026-05-01,5090.10,2026-05-07,5090.10
TR-0000035,2026-06-01,5090.10,2026-06-09,5090.10
TR-0000035,2026-07-01,5090.10,2026-07-07,5090.10
TR-0000035,2026-08-01,5090.10,2026-07-30,5090.10
TR-0000035,2026-09-01,5090.10,2026-09-06,5090.10
TR-0000035,2026-10-01,5090.10,,
TR-0000036,2024-11-01,1111.65,2024-11-04,1111.65
TR-0000036,2024-12-01,1111.65,2024-12-10,1111.65
TR-0000036,2025-01-01,1111.65,2025-01-13,1111.65
TR-0000036,2025-02-01,1111.65,2025-02-02,1111.65
TR-0000036,2025-03-01,1111.65,2025-02-28,1111.65
TR-0000036,2025-04-01,1111.65,2025-04-11,1111.65
TR-0000036,2025-05-01,1111.65,2025-05-02,1111.65
TR-0000036,2025-06-01,1111.65,2025-06-06,1111.65
TR-0000036,2025-07-01,1111.65,2025-07-06,1111.65
TR-0000036,2025-08-01,1111.65,2025-08-13,1111.65
TR-0000036,2025-09-01,1111.65,2025-09-03,1111.65
TR-0000036,2025-10-01,1111.65,2025-10-08,1111.65
TR-0000036,2025-11-01,1111.65,2025-11-10,1111.65
TR-0000036,2025-12-01,1111.65,2025-12-11,1111.65
TR-0000036,2026-01-01,1111.65,2026-01-08,1111.65
TR-0000036,2026-02-01,1111.65,2026-02-07,1111.65
TR-0000036,2026-03-01,1111.65,2026-03-11,1111.65
TR-0000036,2026-04-01,1111.65,2026-04-09,1111.65
TR-0000036,2026-05-01,1111.65,2026-05-08,1111.65
TR-0000036,2026-06-01,1111.65,2026-06-06,1111.65
TR-0000036,2026-07-01,1111.65,2026-07-13,1111.65
TR-0000036,2026-08-01,1111.65,,
TR-0000036,2026-09-01,1111.65,,
TR-0000036,2026-10-01,1111.65,,
TR-0000037,2024-11-01,2069.65,2024-11-12,2069.65
TR-0000037,2024-12-01,2069.65,2024-12-07,2069.65
TR-0000037,2025-01-01,2069.65,2025-01-07,2069.65
TR-0000037,2025-02-01,2069.65,2025-02-07,2069.65
TR-0000037,2025-03-01,2069.65,2025-02-27,2069.65
TR-0000037,2025-04-01,2069.65,2025-04-04,2069.65
TR-0000037,2025-05-01,2069.65,2025-05-06,2069.65
TR-0000037,2025-06-01,2069.65,2025-05-31,2069.65
TR-0000037,2025-07-01,2069.65,2025-07-10,2069.65
TR-0000037,2025-08-01,2069.65,2025-07-30,2069.65
TR-0000037,2025-09-01,2069.65,2025-08-31,2069.65
TR-0000037,2025-10-01,2069.65,2025-10-01,2069.65
TR-0000037,2025-11-01,2069.65,2025-11-03,2069.65
TR-0000037,2025-12-01,2069.65,2025-12-07,2069.65
TR-0000037,2026-01-01,2069.65,2026-01-06,2069.65
TR-0000037,2026-02-01,2069.65,2026-02-04,2069.65
TR-0000037,2026-03-01,2069.65,2026-03-08,2069.65
TR-0000037,2026-04-01,2069.65,2026-03-31,2069.65
TR-0000037,2026-05-01,2069.65,2026-04-28,2069.65
TR-0000037,2026-06-01,2069.65,2026-06-12,2069.65
TR-0000037,2026-07-01,2069.65,2026-07-08,2069.65
TR-0000037,2026-08-01,2069.65,2026-07-29,2069.65
TR-0000037,2026-09-01,2069.65,2026-08-31,2069.65
TR-0000037,2026-10-01,2069.65,,
TR-0000038,2024-11-01,6115.73,2024-11-08,6115.73
TR-0000038,2024-12-01,6115.73,2024-12-13,6115.73
TR-0000038,2025-01-01,6115.73,2025-01-03,6115.73
TR-0000038,2025-02-01,6115.73,2025-01-30,6115.73
TR-0000038,2025-03-01,6115.73,2025-03-02,6115.73
TR-0000038,2025-04-01,6115.73,2025-04-06,6115.73
TR-0000038,2025-05-01,6115.73,2025-05-01,6115.73
TR-0000038,2025-06-01,6115.73,2025-05-29,6115.73
TR-0000038,2025-07-01,6115.73,2025-07-05,6115.73
TR-0000038,2025-08-01,6115.73,2025-08-13,6115.73
TR-0000038,2025-09-01,6115.73,2025-09-09,6115.73
TR-0000038,2025-10-01,6115.73,2025-09-28,6115.73
TR-0000038,2025-11-01,6115.73,2025-11-08,6115.73
TR-0000038,2025-12-01,6115.73,2025-12-12,6115.73
TR-0000038,2026-01-01,6115.73,2026-01-04,6115.73
TR-0000038,2026-02-01,6115.73,2026-02-09,6115.73
TR-0000038,2026-03-01,6115.73,2026-03-07,6115.73
TR-0000038,2026-04-01,6115.73,2026-04-11,6115.73
TR-0000038,2026-05-01,6115.73,2026-05-09,6115.73
TR-0000038,2026-06-01,6115.73,2026-06-06,6115.73
TR-0000038,2026-07-01,6115.73,2026-06-30,6115.73
TR-0000038,2026-08-01,6115.73,2026-08-13,6115.73
TR-0000038,2026-09-01,6115.73,2026-08-30,6115.73
TR-0000038,2026-10-01,6115.73,,
TR-0000039,2024-11-01,4868.61,2024-11-01,4868.61
TR-0000039,2024-12-01,4868.61,2024-12-02,4868.61
